,id,author_last,author_first,author,gender,title,year,genre,filename,sentence
663,41752,Thurston,E. Temple (Ernest Temple),"Thurston, E. Temple (Ernest Temple)",male,The City of Beautiful Nonsense,1900,novel,PG41752_raw.txt,"Of course, the eighteenth of March--but it is out of the question to say upon which day of the week it fell."
664,15992,Benson,Robert Hugh,"Benson, Robert Hugh",male,Come Rack,1912,historical novel,PG15992_raw.txt,There should be no sight more happy than a young man riding to meet his love.
665,44819,Miller,"Alex. McVeigh, Mrs.","Miller, Alex. McVeigh, Mrs.",unknown,Kathleen's Diamonds,1895,novel,PG44819_raw.txt,"Oh, nothing--a girl Is found here in suicide rest."
666,25760,Reymont,Władysław Stanisław,"Reymont, Władysław Stanisław",male,The Comedienne,1920,novel,PG25760_raw.txt,"Bukowiec, a station on the Dombrowa railroad, lies in a beautiful spot."
667,30502,Atherton,Gertrude Franklin Horn,"Atherton, Gertrude Franklin Horn",female,The Gorgeous Isle,1908,novel,PG30502_raw.txt,"Bath House, the most ambitious structure ever erected in the West Indies, and perhaps the most beautiful hotel the world has ever seen, was the popular winter refuge of English people of fashion in the earlier half of the nineteenth century."
668,17156,Lloyd,Nelson,"Lloyd, Nelson",male,The Soldier of the Valley,1904,novel,PG17156_raw.txt,You notice my tenses are past.
669,290,Doyle,Arthur Conan,"Doyle, Arthur Conan",male,The Stark Munro Letters,1895,novel,PG290_raw.txt,"I have missed you very much since your return to America, my dear Bertie, for you are the one man upon this earth to whom I have ever been able to unreservedly open my whole mind."
670,35042,Stoddard,William Osborn,"Stoddard, William Osborn",male,Winter Fun,1885,young adult,PG35042_raw.txt,The gate that opened from the yard into the lane leading back to the barn was directly opposite the side-door of the house.
671,20230,Mitchell,Ruth Comfort,"Mitchell, Ruth Comfort",female,Jane Journeys On,1922,novel,PG20230_raw.txt,"With but one exception, everybody in the upper layer of life in that placid Vermont village was sure that Jane Vail was going to marry Martin Wetherby."
672,6455,London,Jack,"London, Jack",male,The Little Lady of the Big House,1916,novel,PG6455_raw.txt,He awoke in the dark.
673,19225,Comstock,Harriet T. (Harriet Theresa),"Comstock, Harriet T. (Harriet Theresa)",female,Joyce of the North Woods,1911,novel,PG19225_raw.txt,"The man lying flat on the rock which crusted Beacon Hill raised his head with a snake-like motion, and then let it fall back again upon his folded arms."
674,541,Wharton,Edith,"Wharton, Edith",female,The Age of Innocence,1920,novel,PG541_raw.txt,"On a January evening of the early seventies, Christine Nilsson was
singing in Faust at the Academy of Music in New York."
675,514,Alcott,Louisa May,"Alcott, Louisa May",female,Little Women,1868,biographical fiction,PG514_raw.txt,Everybody sniffed when they came to that part.
676,18449,Corelli,Marie,"Corelli, Marie",female,The Treasure of Heaven,1906,novel,PG18449_raw.txt,"London, swart and grim, semi-shrouded in a warm close mist of mingled human breath and acrid vapour steaming up from the clammy crowded streets,--London, with a million twinkling lights gleaming sharp upon its native blackness, and looking, to a dreamer's eye, like some gigantic Fortress, built line upon line and tower upon tower,--with huge ramparts raised about it frowningly as though in self-defence against Heaven."
677,30286,Ayres,Ruby M. (Ruby Mildred),"Ayres, Ruby M. (Ruby Mildred)",female,The Phantom Lover,1921,novel,PG30286_raw.txt,"Somewhere out in the night a woman was crying, crying desolately."
678,41050,Altsheler,Joseph A. (Joseph Alexander),"Altsheler, Joseph A. (Joseph Alexander)",male,In Hostile Red,1897,novel,PG41050_raw.txt,"Captain the Honorable Charles Montague, eldest son and heir to Lord George Montague, of Bridgewater Hall, Yorkshire, England, said Marcel, reading the letters, ""and Lieutenant Arthur Melville, son to Sir Frederick William Melville, of Newton-on-the-Hill, Staffordshire, England."
679,45451,Johnston,Harry,"Johnston, Harry",male,The Man Who Did the Right Thing,1921,novel,PG45451_raw.txt,"The little chapel had been so close and hot during the morning service that in spite of the interest Lucy Josling felt in the occasion—it was the first appearance of her betrothed, John Baines, as a preacher in his native place, and the delivery of his farewell sermon before starting herself from the perspiring throng of worshippers and stood for a few moments in the bright sunlight, inhaling the perfume of distant ""You look a trifle pale, Lucy,"" said Mr. Baines, senior, a stumpy red-faced man with light sandy hair and a long upper lip."
680,34929,Vandercook,Margaret,"Vandercook, Margaret",female,The Ranch Girls in Europe,1914,adventure novel,PG34929_raw.txt,"IT seems incredible, girls, but I simply can't find her."
681,42771,Hutten zum Stolzenberg,"Betsey Riddle, Freifrau von","Hutten zum Stolzenberg, Betsey Riddle, Freifrau von",unknown,Happy House,1920,novel,PG42771_raw.txt,"Mrs. Walbridge stood at the top of the steps, a pink satin slipper in her hand, looking absently out into the late afternoon."
682,31488,Crane,Stephen,"Crane, Stephen",male,"The Little Regiment, and Other Episodes of the American Civil War",1896,novel,PG31488_raw.txt,The fog made the clothes of the men of the column in the roadway seem of a luminous quality.
683,778,Nesbit,E. (Edith),"Nesbit, E. (Edith)",female,Five Children and It,1902,novel,PG778_raw.txt,"The house was three miles from the station, but before the dusty hired fly had rattled along for five minutes the children began to put their heads out of the carriage window and to say, 'Aren't we nearly there?'"
684,47702,Mills,Weymer Jay,"Mills, Weymer Jay",unknown,Through the Gates of Old Romance,1903,novel,PG47702_raw.txt,"It was at a musical party given by the great Franklin a few months after he returned from London to Philadelphia, in 1762, that Betsey Shewell first met Benjamin West and entered with him through the ever-swaying gates of Romance."
685,38472,Clark,Ellery H. (Ellery Harding),"Clark, Ellery H. (Ellery Harding)",male,The Money Gods,1922,novel,PG38472_raw.txt,"Outside the open window, clustering ramblers flecked the wall with crimson, and the ceaseless murmur of the questing bees filled the midsummer air with melody."
686,28663,Ellis,Edward Sylvester,"Ellis, Edward Sylvester",male,The Ranger,1911,novel,PG28663_raw.txt,"At the southern part of Ohio, where the river of that name swerves from its south-western course, and makes a sweeping bend toward the north-west, many years ago stood a large and imposing dwelling."
